entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
b3ce7263-9e8b-5f9e-b1a0-190723af8d29	4	14A	1	1	Frederick H. Martens.	A. E. UHE (Little biographies: series 1, Musicians)	A695089	1922-12-30	R59809	1950-03-17	Breitkopf Publications, inc., successor to Breitkopf & Haertel, inc.|PWH						A. E. UHE, by Frederick H. Martens. (Little biographies: series 1, Musicians) © 30Dec22, A695089. R59809, 17Mar50, Breitkopf Publications, inc., successor to Breitkopf & Haertel, inc. (PWH)
d6a7cb69-27b6-5f04-9ab6-53813a4d8947	4	14A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.	B528574	1922-05-31	R61801	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
d6a7cb69-27b6-5f04-9ab6-53813a4d8947	4	14A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.	B548911	1922-08-24	R61806	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
d6a7cb69-27b6-5f04-9ab6-53813a4d8947	4	14A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.	B553698	1922-12-02	R61808	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
d6a7cb69-27b6-5f04-9ab6-53813a4d8947	4	14A	1	1		ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922.	B571736	1923-03-02	R61815	1950-04-28	The Lawyers Co-operative Publishing Co.|PCW						ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS. Apr., July, Oct., Dec. 1922. © 31May22, B528574; 24Aug22, B548911; 2Dec22, B553698; 2Mar23, B571736. R61801, R61806, R61808, R61815, 28Apr50, The Lawyers Co-operative Publishing Co. (PCW)
49a61714-2674-5719-a39f-f28b93881f14	4	14A	1	1		ABRAHAM LINCOLN, an address by G. Lynn Sumner; Lincoln Day, Kiwanis Club of Scranton, Pa., Feb. 15, 1922.	A673456	1922-04-12	R58500	1950-02-07	G. Lynn Sumner|A						ABRAHAM LINCOLN, an address by G. Lynn Sumner; Lincoln Day, Kiwanis Club of Scranton, Pa., Feb. 15, 1922. © 12Apr22, A673456. R58500, 7Feb50, G. Lynn Sumner (A)
7a3120c6-1d31-5715-942e-b38216e86c13	4	14A	1	1	P. H. Deffendall.	ACTUAL BUSINESS ENGLISH	A681161	1922-08-01	R60449	1950-04-05	P. H. Deffendall|A						ACTUAL BUSINESS ENGLISH, by P. H. Deffendall. © 1Aug22, A681161. R60449, 5Apr50, P. H. Deffendall (A)
22dc32ff-afb0-5ffa-8497-d3f4edb3e042	4	14A	1	1	Famous Players-Lasky Corp.	ADAM'S RIB, a photoplay in ten reels	L18658	1923-02-07	R58624	1950-02-17	Paramount Pictures Corp.|PWH						ADAM'S RIB, a photoplay in ten reels, by Famous Players-Lasky Corp. © 7Feb23, L18658. R58624, 17Feb50, Paramount Pictures Corp. (PWH)
5402277e-04cd-5a13-9119-525c57290648	4	14A	1	1		ADDRESS, by Rudyard Kipling, at the annual dinner of the Royal College of Surgeons, Feb. 14, 1923. Pub. in England in the Morning post, Feb. 15, 1923, as The mystery of man's triumphs of surgery.	A704583	1923-03-27	R60233	1950-03-28	Elsie Bambridge|C	pub. abroad|1923-02-15|AI-4905					ADDRESS, by Rudyard Kipling, at the annual dinner of the Royal College of Surgeons, Feb. 14, 1923. Pub. in England in the Morning post, Feb. 15, 1923, as The mystery of man's triumphs of surgery. © 27Mar23 (pub. abroad 15Feb23, AI-4905), A704583. R60233, 28Mar50, Elsie Bambridge (C)
daedc590-5c14-5026-87ab-db5588810a78	4	14A	1	1	Mildred Emily Cook	THE ADORATION OF THE KINGS AND SHEPHERDS, a pageant of the nativity; front. and cover design by Elizabeth B. Warren.	A692007	1922-11-18	R63352	1950-06-13	Mildred Emily Cook|A						THE ADORATION OF THE KINGS AND SHEPHERDS, a pageant of the nativity, by Mildred Emily Cook; front. and cover design by Elizabeth B. Warren. © 18Nov22, A692007. R63352, 13Jun50, Mildred Emily Cook (A)
