entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
178e7c96-cd8a-505a-a9ca-97cb01a7df2d	10	1A	1	1	ABBOTT, GEORGE.	Coquette, by George Abbott and Anne Preston Bridgers. (In The Best plays of 1927-28 and The year book of the drama in America, edited by Burns Mantle)	A541	1928-11-03	R170727	1956-05-07	George Abbott & Anne Preston Bridgers|A						ABBOTT, GEORGE. Coquette, by George Abbott and Anne Preston Bridgers. (In The Best plays of 1927-28 and The year book of the drama in America, edited by Burns Mantle) © 3Nov28; A541. George Abbott & Anne Preston Bridgers (A); 7May56; R170727.
2ca76934-dede-5e41-a75a-0f268085f02a	10	1A	1	1	ABBOTT, LUCY THURSTON.	The Rusty-cats. Illustrated by Fridolin Haass.	A1074815	1928-05-31	R162916	1956-01-04	Lucy Thurston Abbott|A						ABBOTT, LUCY THURSTON. The Rusty-cats. Illustrated by Fridolin Haass. © 31May28; A1074815. Lucy Thurston Abbott (A); 4Jan56; R162916.
37ede5c0-2e72-5146-9abc-5d7e1fa3d7d1	10	1A	1	1													ABBOTT'S DIGEST OF ALL THE NEW YORK REPORTS, 1927-1928. © 1Jun28, A1082150; 9Feb29, A5285. Lawyers Co-operative Pub. Co. (PCW); 25Apr56; R169670, 169680.
00fd1314-9ff3-5bb6-a8b5-a7b81b597c42	10	1A	1	1	ADAMS, CARRIE B.	How beautiful upon the mountains. (In The Choir herald, Jan. 1929)	B12044	1928-12-10	R170012	1956-05-07	Marybelle Adams Rash & Alice May Adams Lavis|NK						ADAMS, CARRIE B. How beautiful upon the mountains. (In The Choir herald, Jan. 1929) © 10Dec28; B12044. Marybelle Adams Rash & Alice May Adams Lavis (NK); 7May56; R170012.
8351b838-fddc-5d56-bdba-e69a6a049ec6	10	1A	1	1	ADAMS, CARRIE B.	I found Him in my heart. Music by Carrie B. Adams, words by Herman von Berge. (In The Choir herald, Nov. 1928)	B2512	1928-09-29	R167695	1956-04-02	Marybelle Adams Rash & Alice May Adams Lavis|NK						ADAMS, CARRIE B. I found Him in my heart. Music by Carrie B. Adams, words by Herman von Berge. (In The Choir herald, Nov. 1928) © 29Sep28; B2512. Marybelle Adams Rash & Alice May Adams Lavis (NK); 2Apr56; R167695.
777ef870-cbde-5dd4-8d93-7c87812c7d47	10	1A	1	1	ADAMS, CARRIE B.	Let the earth rejoice. (In The Choir herald, Feb. 1929)	B12045	1929-01-02	R170014	1956-05-07	Alice May Adams Lavis & Marybelle Adams Rash|NK						ADAMS, CARRIE B. Let the earth rejoice. (In The Choir herald, Feb. 1929) © 2Jan29; B12045. Alice May Adams Lavis & Marybelle Adams Rash (NK); 7May56; R170014.
e4bf05db-74c7-5ee8-8f56-d9568e3b6952	10	1A	1	1	ADAMS, EUSTACE L.	Fifteen days in the air.	A1083957	1928-08-22	R172964	1956-06-28	Eustace L. Adams|A						ADAMS, EUSTACE L. Fifteen days in the air. © 22Aug28; A1083957. Eustace L. Adams (A); 28Jun56; R172964.
7da2aa38-e2b0-5fd9-b66c-727d52f76e57	10	1A	1	1	ADAMS, EUSTACE L.	Over the polar ice.	A1083958	1928-08-22	R172965	1956-06-28	Eustace L. Adams|A						ADAMS, EUSTACE L. Over the polar ice. © 22Aug28; A1083958. Eustace L. Adams (A); 28Jun56; R172965.
8d6f4640-98f7-5df6-8dd5-3f7711e4a68b	10	1A	1	1	ADAMS, EUSTACE L.	Racing around the world.	A1054249	1928-09-10	R172943	1956-06-28	Eustace L. Adams|A						ADAMS, EUSTACE L. Racing around the world. © 10Sep28; A1054249. Eustace L. Adams (A); 28Jun56; R172943.
552bc452-3994-5d12-8fb9-36b9091cdb2a	10	1A	1	1	ADAMS, FRANK R.	Help yourself to happiness. (In Red book magazine, Feb. 1929)	B13130	1929-01-11	R170460	1956-05-10	Frank R. Adams|A						ADAMS, FRANK R. Help yourself to happiness. (In Red book magazine, Feb. 1929) © 11Jan29; B13130. Frank R. Adams (A); 10May56; R170460.
