entry_id	volume	part	number	page	author	title	oreg	odat	id	rdat	claimants	new_matter	see_also_ren	see_also_reg	notes	full_text
cedf0f32-67b1-51ba-90f7-943520d0dc3b	14	1	1	771		ABBOTT NEW YORK DIGEST. Consolidated ed. May 1933 cumulative quarterly pamphlet.	A63211	1933-05-19	R259913	1960-07-05	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH					ABBOTT NEW YORK DIGEST. Consolidated ed. May 1933 cumulative quarterly pamphlet. © 19May33; A63211. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 5Jul60; R259913.
47cdb8ec-daf5-5d28-99d7-41bdc4de3e23	14	1	1	771		ABBOTT NEW YORK DIGEST. Consolidated ed. 1932 cumulative annual pocket parts for v.1-40.	A60572	1933-02-16	R255149	1960-04-04	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH					ABBOTT NEW YORK DIGEST. Consolidated ed. 1932 cumulative annual pocket parts for v.1-40. © 16Feb33; A60572. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 4Apr60; R255149.
a4f88133-9376-5d5d-a883-830278f2c8a0	14	1	1	771		ABBOTT NEW YORK DIGEST. Consolidated ed. Nov. 1932. Cumulative quarterly pamphlet.	A58425	1932-11-07	R249068	1960-01-06	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH					ABBOTT NEW YORK DIGEST. Consolidated ed. Nov. 1932. Cumulative quarterly pamphlet. © 7Nov32; A58425. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 6Jan60; R249068.
28f7b861-da20-5e6a-9ac3-af5cdfe1b39a	14	1	1	771	ABDULLAH, ACHMED.	A romantic young man.	A53244	1932-07-21	R254722	1960-04-04	Rosemary Dolan Coney|W					ABDULLAH, ACHMED. A romantic young man. © 21Jul32; A53244. Rosemary Dolan Coney (W); 4Apr60; R254722.
9beac593-5b2e-50e1-84f7-3aa24b9647d8	14	1	1	771	ACEVEDO, HERMINIA.	Leamos y juguemos, por Herminia Acevedo & Angela Luisa Munoz de Rodrigiez.	A62018	1933-02-21	R256626	1960-05-05	Herminia Acevedo|A					ACEVEDO, HERMINIA. Leamos y juguemos, por Herminia Acevedo & Angela Luisa Munoz de Rodrigiez. © 21Feb33; A62018. Herminia Acevedo (A); 5May60; R256626.
ce4b9363-3e2e-59e1-858d-65f6273f634a	14	1	1	771			AI16453	1932-04-07	R252737	1960-02-26						ACKERLEY, J. R. Hindoo holiday: an Indian Journal. © 7Apr32, AI-16453; 8Jul32, A52973. J. R. Ackerley (A); 26Feb60; R252737.
ce4b9363-3e2e-59e1-858d-65f6273f634a	14	1	1	771			A52973	1932-07-08	R252737	1960-02-26						ACKERLEY, J. R. Hindoo holiday: an Indian Journal. © 7Apr32, AI-16453; 8Jul32, A52973. J. R. Ackerley (A); 26Feb60; R252737.
803b011c-93e3-5841-8fc4-c54f1a8452e8	14	1	1	771	ADAMS, CARRIE B.	Come, gracious spirit. (In The Choir herald, April 1932)	B146931	1932-02-11	R250586	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK					ADAMS, CARRIE B. Come, gracious spirit. (In The Choir herald, April 1932) © 11Feb32; B146931. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250586.
c2828128-9a2f-5bf2-909c-3b221e9b4cc0	14	1	1	771	ADAMS, CARRIE B.	Jesus, lover of my soul. (In The Choir herald, Sept. 1932)	B163322	1932-08-03	R250596	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK					ADAMS, CARRIE B. Jesus, lover of my soul. (In The Choir herald, Sept. 1932) © 3Aug32; B163322. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250596.
362183d9-a019-51c5-860b-3eea93376da8	14	1	1	771	ADAMS, CARRIE B.	The Lord God will come. (In The Choir herald, Nov. 1932)	B168577	1932-09-12	R250600	1960-01-18	Alice May Adams Lavis & Mary Adams Rash|NK					ADAMS, CARRIE B. The Lord God will come. (In The Choir herald, Nov. 1932) © 12Sep32; B168577. Alice May Adams Lavis & Mary Adams Rash (NK); 18Jan60; R250600.
