volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
18	1A	1	1	ABBE, JOHN.	Around the world in eleven years. By John Abbe, Richard Abbe & Patience Abbe.		A92824	1936-04-06	R332913	1964-03-02	John Abbe, Richard Abbe & Patience Abbe Leydet|A						ABBE, JOHN. Around the world in eleven years. By John Abbe, Richard Abbe & Patience Abbe. © 6Apr36; A92824. John Abbe, Richard Abbe & Patience Abbe Leydet (A); 2Mar64; R332913.
18	1A	1	1	ABBOTT & WALKER, INC.	Promotional advertising. (Missing woman series, vol. A)		AA226858	1937-02-26	R337925	1964-05-18	Deward & Rich, Inc.|PWH						ABBOTT & WALKER, INC. Promotional advertising. (Missing woman series, vol. A) © 26Feb37; AA226858. Deward & Rich, Inc. (PWH); 18May64; R337925.
18	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative quarterly pamphlet. Mar37.		A104679	1937-03-12	R335076	1964-04-06	Lawyers Co-operative Pub. Co. & West Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative quarterly pamphlet. © Lawyers Co-operative Pub. Co. & West Pub. Co. (PWH) Mar37. © 12Mar37; A104679. 6Apr64; R335076.
18	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1936 cumulative annual pocket parts. 40 v.		A102504	1936-12-30	R330117	1964-01-06	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. 1936 cumulative annual pocket parts. 40 v. © 30Dec36; A102504. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 6Jan64; R330117.
18	1A	1	1	ABELL, WALTER.	Representation and form; a study of aesthetic values in representational art. Introd. by Arthur Pope.		A96560	1936-07-17	R335690	1964-04-06	Marcelle A. Abell|W||Arthur Pope|A						ABELL, WALTER. Representation and form; a study of aesthetic values in representational art. Introd. by Arthur Pope. © 17Jul36; A96560. Marcelle A. Abell (W) & Arthur Pope (A); 6Apr64; R335690.
18	1A	1	2	ADAMIC, LOUIS.	Aliens and alien baiters. (In Harper's magazine, Nov. 1936)		B318102	1936-10-20	R330802	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Aliens and alien baiters. (In Harper's magazine, Nov. 1936) © 20Oct36; B318102. Stana Adamic (NK); 27Jan64; R330802.
18	1A	1	2	ADAMIC, LOUIS.	Cherries are red in San Joaquin. (In The Nation. June 27, 1936)		B304720	1936-06-24	R330801	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Cherries are red in San Joaquin. (In The Nation. June 27, 1936) © 24Jun36; B304720. Stana Adamic (NK); 27Jan64; R330801.
18	1A	1	2	ADAMIC, LOUIS.	Education of a mountain. (In Harper's magazine, Apr. 1936)		B294609	1936-03-20	R330799	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Education of a mountain. (In Harper's magazine, Apr. 1936) © 20Mar36; B294609. Stana Adamic (NK); 27Jan64; R330799.
18	1A	1	2	ADAMIC, LOUIS.	Harry Bridges comes East. (In The Nation, Dec. 26, 1936)		B323305	1936-12-23	R330805	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Harry Bridges comes East. (In The Nation, Dec. 26, 1936) © 23Dec36; B323305. Stana Adamic (NK); 27Jan64; R330805.
18	1A	1	2	ADAMIC, LOUIS.	Harry Bridges, rank and file leader. (In The Nation, May 6, 1936)		B297949	1936-04-29	R330800	1964-01-27	Stana Adamic|NK						ADAMIC, LOUIS. Harry Bridges, rank and file leader. (In The Nation, May 6, 1936) © 29Apr36; B297949. Stana Adamic (NK); 27Jan64; R330800.
