entry_id	volume	part	number	page	author	title	book	oreg	odat	id	rdat	claimants	previous	new_matter	see_also_ren	see_also_reg	notes	full_text
d27a3deb-d997-5e87-a715-791947808d5f	27	1A	1	1	AARON, MICHAEL.	Michael Aaron piano course, grade 2.		AA1642	1945-12-31	R547541	1973-02-12	Michael Aaron|A						AARON, MICHAEL. Michael Aaron piano course, grade 2. © 31Dec45; AA1642. Michael Aaron (A); 12Feb73; R547541.
305e1600-460c-50ab-bcce-4524510c3395	27	1A	1	1	ABBOTT, JANE.	Mary Patten's daughters.		A187205	1945-04-20	R550352	1973-04-19	Frank A. Abbott|C						ABBOTT, JANE. Mary Patten's daughters. © 20Apr45; A187205. Frank A. Abbott (C); 19Apr73; R550352.
9055caec-80d6-5936-86e3-a65d2421988f	27	1A	1	1	ABBOTT, LEONARD DALTON, ed.	Masterworks of economics; digests of 10 great classics. (Masterworks series)		A2623	1946-04-18	R551612	1973-04-27	Copeland & Lamm, Inc.|PWH						ABBOTT, LEONARD DALTON, ed. Masterworks of economics; digests of 10 great classics. (Masterworks series) © 18Apr46; A2623. Copeland & Lamm, Inc. (PWH); 27Apr73; R551612.
ce532485-b8de-5360-9d6f-496292a9c230	27	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. Nov45.		AA499439	1945-11-16	R546020	1973-02-26	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Cumulative pamphlet. © West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH) Nov45. © 16Nov45; AA499439. 26Feb73; R546020.
d15a8335-c416-566a-8c95-e6280bca5fed	27	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol.1, 40-42, 1945 cumulative annual pocket part.		AA498852	1945-10-25	R546010	1973-02-26	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol.1, 40-42, 1945 cumulative annual pocket part. © 25Oct45; AA498852. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 26Feb73; R546010.
8687200b-c436-59db-87db-c9f9e9b8f511	27	1A	1	1		ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol.2-39, 1945 annual pocket part.		AA498853	1945-10-25	R546011	1973-02-26	West Pub. Co. & Lawyers Co-operative Pub. Co.|PWH						ABBOTT NEW YORK DIGEST, CONSOLIDATED EDITION. Vol.2-39, 1945 annual pocket part. © 25Oct45; AA498853. West Pub. Co. & Lawyers Co-operative Pub. Co. (PWH); 26Feb73; R546011.
3b42d215-0cc7-5610-ad90-0e4a8cf6b25d	27	1A	1	1	ABRAMS, HARRY.	My favorite birthday book. Illustrated with Persian miniatures by Mahmond Sayah.		A188903	1945-07-14	R543869	1973-01-15	Harry Abrams|A						ABRAMS, HARRY. My favorite birthday book. Illustrated with Persian miniatures by Mahmond Sayah. © 14Jul45; A188903. Harry Abrams (A); 15Jan73; R543869.
907818c4-2b54-5ab6-b878-9eaa7f4e01a0	27	1A	1	2	ABRAMS (MORRIS) INC.	Catalog no. 45. Appl. author: Weinberg & McKee, Inc.		A188910	1945-03-01	R546975	1973-02-26	Weinberg & McKee, Inc.|PWH						ABRAMS (MORRIS) INC. Catalog no. 45. Appl. author: Weinberg & McKee, Inc. © 1Mar45; A188910. Weinberg & McKee, Inc. (PWH); 26Feb73; R546975.
5dd9cbac-e3ba-5a1b-8e36-62e04e3b84df	27	1A	1	2	ABRASIVE MACHINE & SUPPLY CO.	Supply catalog. Appl. author: Weinberg & McKee, Inc.		A2762	1946-04-08	R552759	1973-05-29	Weinberg & McKee, Inc.|PWH						ABRASIVE MACHINE & SUPPLY CO. Supply catalog. Appl. author: Weinberg & McKee, Inc. © 8Apr46; A2762. Weinberg & McKee, Inc. (PWH); 29May73; R552759.
e94b2413-64e6-52c2-a0bc-86a5670ac3a6	27	1A	1	2	ACADEMY OF POLITICAL SCIENCE, NEW YORK.	World organization; economic, political and social. Edited by John A. Krout. (Proceedings of the Academy of Political Science, v.21. no.3, May 1945)		AA484402	1945-05-19	R547130	1973-03-05	Academy of Political Science|PWH						ACADEMY OF POLITICAL SCIENCE, NEW YORK. World organization; economic, political and social. Edited by John A. Krout. (Proceedings of the Academy of Political Science, v.21. no.3, May 1945) © 19May45; AA484402. Academy of Political Science (PWH); 5Mar73; R547130.
650022a1-628b-5803-9ced-2642a1119d25	27	1A	1	2	ACKERKNECHT, ERWIN H.	Malaria in the upper Mississippi Valley, 1760-1900; supplements to the Bulletin of the history of medicine.		AA481584	1945-02-16	R544380	1973-01-22	Erwin H. Ackerknecht|A						ACKERKNECHT, ERWIN H. Malaria in the upper Mississippi Valley, 1760-1900; supplements to the Bulletin of the history of medicine. © 16Feb45; AA481584. Erwin H. Ackerknecht (A); 22Jan73; R544380.
545616a3-bb3e-5567-b78d-bf525e833647	27	1A	1	2	ADAMIC, LOUIS.	A nation of nations. First pub. serially in Woman's day magazine July 1944-June 1945. NM: pref., chap. 2 & 4, notes, revisions & additions.		A191132	1945-11-07	R547611	1973-01-24	Stan Adamic|NK						ADAMIC, LOUIS. A nation of nations. First pub. serially in Woman's day magazine July 1944-June 1945. NM: pref., chap. 2 & 4, notes, revisions & additions. © 7Nov45; A191132. Stan Adamic (NK); 24Jan73; R547611.
e882839a-04a9-5e94-aaa1-7b630e6dde8b	27	1A	1	2	ADAMS, ARTHUR STANTON.	Fundamentals of thermodynamics, by Arthur Stanton Adams & George Dewey Hilding.		A188531	1945-05-23	R552467	1973-05-18	Arthur Stanton Adams|A						ADAMS, ARTHUR STANTON. Fundamentals of thermodynamics, by Arthur Stanton Adams & George Dewey Hilding. © 23May45; A188531. Arthur Stanton Adams (A); 18May73; R552467.
45b4dd8c-4e0a-565b-9aea-0dbda60c3ede	27	1A	1	3	ADAMS, CLIFFORD R.	The personal audit. Form LL. By Clifford R. Adams & William M. Lepley.		AA497275	1945-05-28	R549989	1973-04-20	Clifford R. Adams|A						ADAMS, CLIFFORD R. The personal audit. Form LL. By Clifford R. Adams & William M. Lepley. © 28May45; AA497275. Clifford R. Adams (A); 20Apr73; R549989.
41267337-9018-5df3-97cd-99f0ecff4f73	27	1A	1	3	ADAMS, CLIFFORD R.	The personal audit; form SS, by Clifford R. Adams & William M. Lepley.		AA497273	1945-05-25	R550130	1973-04-20	Clifford R. Adams|A						ADAMS, CLIFFORD R. The personal audit; form SS, by Clifford R. Adams & William M. Lepley. © 25May45; AA497273. Clifford R. Adams (A); 20Apr73; R550130.
5b062824-f0fc-5543-8e30-12474f2f7013	27	1A	1	3	ADAMS, CLIFFORD R.	The personal audit; manual of directions for using and interpreting.		AA486626	1945-04-17	R550129	1973-03-07	Clifford R. Adams|A						ADAMS, CLIFFORD R. The personal audit; manual of directions for using and interpreting. © 17Apr45; AA486626. Clifford R. Adams (A); 7Mar73; R550129.
fd614283-e441-586e-9f96-b6b863957d84	27	1A	1	4	ADAMS, SAMUEL HOPKINS.	A. Woollcott: his life and his world.		A188020	1945-06-04	R550218	1973-04-12	Hester H. Adams & Kathrine A. Adell|C						ADAMS, SAMUEL HOPKINS. A. Woollcott: his life and his world. © 4Jun45; A188020. Hester H. Adams & Kathrine A. Adell (C); 12Apr73; R550218.
1c4e116b-e01a-5e03-894e-bc3aa732ad74	27	1A	1	4	ADAMS, SAMUEL HOPKINS.	Aunt Minnie & the accessory after the fact. (In Liberty. Oct. 6, 1945)		B694882	1945-09-26	R550219	1973-04-12	Hester H. Adams & Kathrine A. Adell|C						ADAMS, SAMUEL HOPKINS. Aunt Minnie & the accessory after the fact. (In Liberty. Oct. 6, 1945) © 26Sep45; B694882. Hester H. Adams & Kathrine A. Adell (C); 12Apr73; R550219.
8cba5398-837b-5cce-9bf4-9bac5bed2f72	27	1A	1	4	ADAMSON, HAROLD.	If it could happen. Words: Harold Adamson.		A5-135836	1945-02-09	R542505	1973-01-09	Harold Adamson|A						ADAMSON, HAROLD. If it could happen. Words: Harold Adamson. © 9Feb45; A5-135836. Harold Adamson (A); 9Jan73; R542505.
2f369ee9-b0ea-5d7b-ab8b-6bd362e33dbc	27	1A	1	4		ADVANCES IN CARBOHYDRATE CHEMISTRY. Vol.1. Edited by W. W. Pigman & M. L. Wolfrom.		A190782	1945-11-01	R545783	1973-02-12	Academic Press. Inc.|PCW						ADVANCES IN CARBOHYDRATE CHEMISTRY. Vol.1. Edited by W. W. Pigman & M. L. Wolfrom. © 1Nov45; A190782. Academic Press. Inc. (PCW); 12Feb73; R545783.
c0519f72-e793-5366-910f-f89f7476faab	27	1A	1	4		ADVANCES IN ENZYMOLOGY AND RELATED SUBJECTS OF BIOCHEMISTRY. Vol.5. Edited by F. F. Nord & C. H. Werkman.		A187954	1945-05-22	R543524	1973-01-15	F. F. Nord|A						ADVANCES IN ENZYMOLOGY AND RELATED SUBJECTS OF BIOCHEMISTRY. Vol.5. Edited by F. F. Nord & C. H. Werkman. © 22May45; A187954. F. F. Nord (A); 15Jan73; R543524.
0610a497-e14d-52ae-9133-e1b6c9972481	27	1A	1	4		ADVANCES IN PROTEIN CHEMISTRY. Vol.2. Edited by Mortimer Louis Anson & John Tileston Edsall.		A14141	1945-12-02	R545785	1973-02-12	Academic Press, Inc.|PCW						ADVANCES IN PROTEIN CHEMISTRY. Vol.2. Edited by Mortimer Louis Anson & John Tileston Edsall. © 2Dec45; A14141. Academic Press, Inc. (PCW); 12Feb73; R545785.
6e93d1ad-383c-58a3-ae5c-2e416472182d	27	1A	1	4	AHEARN, DANIEL J., JR.	The wages of farm and factory laborers, 1914-1944. (Studies in history, economics and public law, no. 518)		A191076	1945-11-05	R545703	1973-02-05	Daniel J. Ahearn|A						AHEARN, DANIEL J., JR. The wages of farm and factory laborers, 1914-1944. (Studies in history, economics and public law, no. 518) © 5Nov45; A191076. Daniel J. Ahearn (A); 5Feb73; R545703.
1af8a16f-3542-5163-9f71-7514533aa775	27	1A	1	4		ALABAMA DIGEST. Vol. 1-20, 1945 cumulative annual pocket part.		AA491171	1945-08-08	R544248	1973-01-15	West Pub. Co.|PWH						ALABAMA DIGEST. Vol. 1-20, 1945 cumulative annual pocket part. © 8Aug45; AA491171. West Pub. Co. (PWH); 15Jan73; R544248.
a8ffecc4-478e-59eb-8d8d-396c05a70fef	27	1A	1	5	ALABAMA. SUPREME COURT.	Report of cases argued and determined in the Supreme Court of Alabama. Noble H. Seay, reporter of decisions. Vol. 246.		A139674	1945-08-31	R544226	1973-01-15	State of Alabama|PWH						ALABAMA. SUPREME COURT. Report of cases argued and determined in the Supreme Court of Alabama. Noble H. Seay, reporter of decisions. © State of Alabama (PWH) Vol. 246. © 31Aug45; A139674. 15Jan73; R544226.
7786479b-ea80-52fc-914a-36220e5cb592	27	1A	1	5	ALBERTI, RAFAEL.	Selected poems of Rafael Alberti. Translated by Lloyd Mallan.		A185627	1945-01-15	R543554	1973-01-10	Lloyd Mallan|A						ALBERTI, RAFAEL. Selected poems of Rafael Alberti. Translated by Lloyd Mallan. © 15Jan45; A185627. Lloyd Mallan (A); 10Jan73; R543554.
0e0d3beb-aa73-5f9d-bc88-a759b58a80d0	27	1A	1	5	ALDANOV, MARK.	For thee the best. Translated by Nicholas Wreden.		A191183	1945-11-05	R548070	1973-03-15	Alexandre Polonski|E of M. Aldanov						ALDANOV, MARK. For thee the best. Translated by Nicholas Wreden. © 5Nov45; A191183. Alexandre Polonski (E of M. Aldanov); 15Mar73; R548070.
8849e5e5-acde-59d1-b603-43fb8d4b0983	27	1A	1	5	ALDINGTON, HILDA DOOLITTLE.	Tribute to the angels, by H. D., pseud. Appl. states prev. pub. abroad 11Apr45.		A191279	1945-11-15	R544991	1973-02-05	Norman Holmes Pearson|E						ALDINGTON, HILDA DOOLITTLE. Tribute to the angels, by H. D., pseud. Appl. states prev. pub. abroad 11Apr45. © 15Nov45; A191279. Norman Holmes Pearson (E); 5Feb73; R544991.
97c52dc3-cedf-5d9c-8f0f-6c01e6e8ce38	27	1A	1	5	ALEXANDER, VAN.	First arrangement. NM: music book, text & arrangements.		AA51817	1946-02-19	R553678	1973-06-11	Van Alexander|A						ALEXANDER, VAN. First arrangement. NM: music book, text & arrangements. © 19Feb46; AA51817. Van Alexander (A); 11Jun73; R553678.
76327ed7-2c1a-5bcf-88a4-751871a3ab15	27	1A	1	5		ALL FICTION STORIES ANNUAL, 1946 Daisy Bacon, editor. Esther J. Ford, associate.		AA4651	1946-02-01	R547897	1973-03-14	Conde Nast Publications, Inc.|PWH						ALL FICTION STORIES ANNUAL, 1946 Daisy Bacon, editor. Esther J. Ford, associate. © 1Feb46; AA4651. Conde Nast Publications, Inc. (PWH); 14Mar73; R547897.
3c5c4669-9e63-51fd-826c-426a0a2fc122	27	1A	1	5	ALLEN, MERRITT PARMELEE.	The mudhen. Decorations by Stephen Voorhies.		A189901	1945-09-19	R550980	1973-04-26	Vera A. Cline|E of M. P. Allen						ALLEN, MERRITT PARMELEE. The mudhen. Decorations by Stephen Voorhies. © 19Sep45; A189901. Vera A. Cline (E of M. P. Allen); 26Apr73; R550980.
2088462f-1854-5764-9c69-a244bf2a5f45	27	1A	1	5	ALLINGHAM, MARGERY.	Wanted, someone innocent. (In Good housekeeping, Jan. 1946)		B702551	1945-12-19	R542947	1973-01-02	Philip Youngman Carter|Wr						ALLINGHAM, MARGERY. Wanted, someone innocent. (In Good housekeeping, Jan. 1946) © 19Dec45; B702551. Philip Youngman Carter (Wr); 2Jan73; R542947.
15cdc0be-9a0f-5c10-a903-156c3062cb98	27	1A	1	5	ALLINGHAM, MARGERY.	Wanted someone innocent. (In Good housekeeping, Feb. 1946)		B5372	1946-01-18	R547599	1973-03-07	Philip Youngman Carter|Wr						ALLINGHAM, MARGERY. Wanted someone innocent. (In Good housekeeping, Feb. 1946) © 18Jan46; B5372. Philip Youngman Carter (Wr); 7Mar73; R547599.
19d93569-76d1-5ff8-8d90-1929bf9f1dc2	27	1A	1	6	AMERICAN COUNCIL OF LEARNED SOCIETIES.	Dictionary of everyday usage, German-English, English-German. Edited by J. Alan Pfeffer.		AA3429	1946-01-10	R545024	1973-02-05	American Council of Learned Societies|PWH						AMERICAN COUNCIL OF LEARNED SOCIETIES. Dictionary of everyday usage, German-English, English-German. Edited by J. Alan Pfeffer. © 10Jan46; AA3429. American Council of Learned Societies (PWH); 5Feb73; R545024.
d9967a98-f4b0-5412-b152-00d066a05442	27	1A	1	6		AMERICAN FEDERAL TAX REPORTS. Vol. 32.		A190352	1945-09-20	R544237	1973-01-15	West Pub. Co.|PWH						AMERICAN FEDERAL TAX REPORTS. © West Pub. Co. (PWH) Vol. 32. © 20Sep45; A190352. 15Jan73; R544237.
6849a1dc-a266-5070-b612-d77442bf92b5	27	1A	1	6	AMERICAN LAW INSTITUTE.	Restatement in the courts; history of the American Law Institute and the first restatement of the law. Permanent edition. NM: revisions & additions.		A4435	1946-03-28	R549385	1973-04-05	American Law Institute|PWH						AMERICAN LAW INSTITUTE. Restatement in the courts; history of the American Law Institute and the first restatement of the law. Permanent edition. NM: revisions & additions. © 28Mar46; A4435. American Law Institute (PWH); 5Apr73; R549385.
2c194403-d093-5ff9-9a43-44e777301e5c	27	1A	1	6	AMERICAN LAW INSTITUTE.	Restatement of the law. Permanent general index.		A2443	1946-03-28	R549382	1973-04-05	American Law Institute|PWH						AMERICAN LAW INSTITUTE. Restatement of the law. Permanent general index. © 28Mar46; A2443. American Law Institute (PWH); 5Apr73; R549382.
afcdad65-545b-51ad-8024-693a5da7936b	27	1A	1	6		AMERICAN LAW REPORTS, ANNOTATED. Vol. 158.		A191571	1945-11-26	R548299	1973-03-23	Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co.|PWH						AMERICAN LAW REPORTS, ANNOTATED. © Lawyers Co-operative Pub. Co. & Bancroft-Whitney Co. (PWH) Vol. 158. © 26Nov45; A191571. 23Mar73; R548299.
169de22e-95c0-5471-92f8-f742eb896113	27	1A	1	6	John W. Beattie, Josephine Wolverton, Grace V. Wilson & Howard Hinga.	THE AMERICAN SINGER. Book 4.		A187997	1945-05-31	R548301	1973-03-21	John W. Beattie|A						THE AMERICAN SINGER. Book 4. By John W. Beattie, Josephine Wolverton, Grace V. Wilson & Howard Hinga. © 31May45; A187997. John W. Beattie (A); 21Mar73; R548301.
9aede625-c715-53ec-829e-781b968d1ea6	27	1A	1	6	AMERICAN SOCIETY OF INTERNATIONAL LAW.	Proceedings ... 39th annual meeting held at Washington, D.C., April 13-14, 1945.		AA370	1945-12-31	R546829	1973-02-26	American Society of International Law|PCW						AMERICAN SOCIETY OF INTERNATIONAL LAW. Proceedings ... 39th annual meeting held at Washington, D.C., April 13-14, 1945. © 31Dec45; AA370. American Society of International Law (PCW); 26Feb73; R546829.
8ad2028a-295a-58be-8f04-9b2359e94800	27	1A	1	7	ANDERSEN, HANS CHRISTIAN.	Andersen's fairy tales. Translated by E. U. Lucas & H. B. Paull. Illus.: Arthur Szyk. Deluxe ed. NM: illus.		A592	1945-11-15	R543883	1973-01-15	Grosset & Dunlap, Inc.|PWH						ANDERSEN, HANS CHRISTIAN. Andersen's fairy tales. Translated by E. U. Lucas & H. B. Paull. Illus.: Arthur Szyk. Deluxe ed. NM: illus. © 15Nov45; A592. Grosset & Dunlap, Inc. (PWH); 15Jan73; R543883.
a04f827c-6ffd-5f02-80c4-773d3761acc0	27	1A	1	7	ANDERSEN, HANS CHRISTIAN.	Andersen's fairy tales. Translated by E. U. Lucas, H. B. Paull. Illus.: Arthur Szyk. Popular ed. NM: illus.		A590	1945-11-15	R543881	1973-01-15	Grosset & Dunlap, Inc.|PWH						ANDERSEN, HANS CHRISTIAN. Andersen's fairy tales. Translated by E. U. Lucas, H. B. Paull. Illus.: Arthur Szyk. Popular ed. NM: illus. © 15Nov45; A590. Grosset & Dunlap, Inc. (PWH); 15Jan73; R543881.
4fedc8de-c037-525f-839c-850299d00b9e	27	1A	1	7	ANDERSEN, HANS CHRISTIAN.	Andersen's fairy tales. Translated by E. U. Lucas & H. B. Paull. Illus.: Arthur Szyk. Special ed. NM: illus.		A591	1945-11-15	R543882	1973-01-15	Grosset & Dunlap, Inc.|PWH						ANDERSEN, HANS CHRISTIAN. Andersen's fairy tales. Translated by E. U. Lucas & H. B. Paull. Illus.: Arthur Szyk. Special ed. NM: illus. © 15Nov45; A591. Grosset & Dunlap, Inc. (PWH); 15Jan73; R543882.
6f1fd33f-1a46-513d-a9e3-3656b04ca4be	27	1A	1	7	ANDERSEN, HANS CHRISTIAN.	Fairy tales from Hans Christian Andersen. Illus. by Dick Hart.		A191214	1945-09-27	R551269	1973-05-08	Dick Hart|A						ANDERSEN, HANS CHRISTIAN. Fairy tales from Hans Christian Andersen. Illus. by Dick Hart. © 27Sep45; A191214. Dick Hart (A); 8May73; R551269.
cb6bf9d9-8e7d-5aae-b3a9-4a1b4be8f593	27	1A	1	7	ANDERSON, CARL.	Henry.		A192067	1945-12-15	R546493	1973-02-16	King Features Syndicate, Inc.|PWH						ANDERSON, CARL. Henry. © 15Dec45; A192067. King Features Syndicate, Inc. (PWH); 16Feb73; R546493.
075d8c90-e207-5936-9221-dac61cded51f	27	1A	1	7	ANDREWS, CLARENCE L.	Sitka, the chief factory of the Russian American Company. 3d ed.		A574	1945-12-10	R546330	1973-02-20	Frances W. Cannon|C						ANDREWS, CLARENCE L. Sitka, the chief factory of the Russian American Company. 3d ed. © 10Dec45; A574. Frances W. Cannon (C); 20Feb73; R546330.
de840ec7-9a00-5613-8bf0-8f9c741c825d	27	1A	1	7	ANDREWS, EVANGELINE WALKER.	Jonathan Dickinson's journal; or, God's protecting Providence, being the narrative of a journey from Port Royal in Jamaica to Philadelphia between August 23, 1696 and April 1, 1697. Edited by Evangeline Walker Andrews, author of introd., & Charles McLean Andrews. NM: introd. & editing.		A191098	1945-09-18	R551290	1973-05-03	John W. Andrews|C of E. W. Andrews						ANDREWS, EVANGELINE WALKER. Jonathan Dickinson's journal; or, God's protecting Providence, being the narrative of a journey from Port Royal in Jamaica to Philadelphia between August 23, 1696 and April 1, 1697. Edited by Evangeline Walker Andrews, author of introd., & Charles McLean Andrews. NM: introd. & editing. © 18Sep45; A191098. John W. Andrews (C of E. W. Andrews); 3May73; R551290.
5ece5514-8ef6-5a2c-9c75-5fa9292e73a0	27	1A	1	7	ANDREWS, ROY CHAPMAN.	Woodcock parlors. (In Field & stream, Jan. 1946)		B7221	1945-12-27	R542946	1973-01-03	Wilhelmina A. Street|W						ANDREWS, ROY CHAPMAN. Woodcock parlors. (In Field & stream, Jan. 1946) © 27Dec45; B7221. Wilhelmina A. Street (W); 3Jan73; R542946.
a8f9ffdf-35f0-578e-81f2-5d4a2c02dd01	27	1A	1	8	ANGOFF, CHARLES.	Adventures in heaven.		A190767	1945-10-26	R549564	1973-04-05	Charles Angoff|A						ANGOFF, CHARLES. Adventures in heaven. © 26Oct45; A190767. Charles Angoff (A); 5Apr73; R549564.
fda0cbb6-c68b-5cca-b331-5fdb66cb1c8d	27	1A	1	8	ANNETT, R. ROSS.	A bracelet for a lady. (In Saturday evening post, Dec. 15, 1945)		B705179	1945-12-12	R550794	1973-04-23	R. Ross Annett|A						ANNETT, R. ROSS. A bracelet for a lady. (In Saturday evening post, Dec. 15, 1945) © 12Dec45; B705179. R. Ross Annett (A); 23Apr73; R550794.
2b9f3402-d52a-56c6-b99b-5a1e113dac8e	27	1A	1	8	ANNETT, R. ROSS.	Local yokel. (In Saturday evening post, Sept. 1, 1945)		B689385	1945-08-29	R550793	1973-04-23	R. Ross Annett|A						ANNETT, R. ROSS. Local yokel. (In Saturday evening post, Sept. 1, 1945) © 29Aug45; B689385. R. Ross Annett (A); 23Apr73; R550793.
b5a808e5-2dc6-5883-8936-bc55f43cd937	27	1A	1	8	ANNETT, R. ROSS.	Sorrell hellion. (In Saturday evening post, June 9, 1945)		B680032	1945-06-06	R550792	1973-04-23	R. Ross Annett|A						ANNETT, R. ROSS. Sorrell hellion. (In Saturday evening post, June 9, 1945) © 6Jun45; B680032. R. Ross Annett (A); 23Apr73; R550792.
2fbefa8d-3113-5ebd-8606-60acb12bc4cd	27	1A	1	8	ANNIXTER, PAUL.	One with hands. (In Esquire, Dec. 1945)		B701815	1945-11-08	R545867	1973-02-13	Paul Annixter|A						ANNIXTER, PAUL. One with hands. (In Esquire, Dec. 1945) © 8Nov45; B701815. Paul Annixter (A); 13Feb73; R545867.
c311d53c-bebb-561c-a980-96d65459e26f	27	1A	1	8	ANOUILH, JEAN.	Antigone.		AF36175	1946-03-30	R552237	1973-05-07	Jean Anouilh|A						ANOUILH, JEAN. Antigone. © 30Mar46; AF36175. Jean Anouilh (A); 7May73; R552237.
