entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	new_matter	see_also_ren	see_also_reg	note	full_text
7bdd547c-8aa3-2c1b-e8ac-686fb61b6558					Louis G. Locke, William M. Gibson & George Arms.	Toward liberal education.	A66704	1952-04-25	RE56129	1980-04-03	Louis G. Locke|A||William M. Gibson|A||George Arms|A				Rev. ed. of book first pub. 1Jun48.	
e53ead8b-e071-ff9a-b469-719f75950c11					Jennifer Ames, pseud. of Maysie Greig Murray.	Reluctant Cinderella.|Whispers in the sun	A71523	1952-05-23	RE104215	1980-12-29	Lucy Mabry Fitzpatrick|A				Pub. abroad under the title Whispers in the sun, 22Aug49.	
90692af8-ccab-293d-bf23-d02f5345e63c					Joseph A. Rogers.	Integrated freshman English.	AA212523	1952-04-17	RE56128	1980-04-03	Joseph A. Rogers|A				Originally pub. 21Sep50.	
87cb124f-7ea8-37cb-3fa9-29019afc29e6					John VanDruten.	Sally Bowles.	DU27931	1951-06-14	RE51867	1980-03-08	Carter Lodge|E					
dcbe470d-fb7d-6278-5e86-774f4861eadc					Edward Ronns, pseud. of Edward S. Aarons.	I can't stop running.	A68779	1951-07-07	RE67694	1980-10-14	William B. Aarons|E||William B. Aarons, Jr.|E					
ac6f22a2-2ee8-3279-5af2-c45cd7e98cec						Connecticut reporter covering cases reported in Atlantic reporter, second series.  Vol. 83-90.	AA228733	1951-11-24	RE73797	1980-12-24	West Publishing Company|PWH					
ffd27010-d069-807a-8399-a7b2a1acbcc9						The Reader's Digest (in Japanese).  Vol. 7, no. 1, Jan. 1952.  Editor-in-chief: Seiichi Fukuoka.	BFO190	1951-12-24	RE50567	1980-01-24	The Reader's Digest Association, Inc.|PWH				In notice: 1952	
4be3cbdd-3c79-602b-6124-87565023fe9f						Sergeant Preston of the Yukon.  Comic issue no. 373.	AA205430	1951-12-28	RE87849	1980-12-15	Lone Ranger Television, Inc.|PWH				In notice: 1952	
249c502a-e741-e280-47a1-3cc7b82d77c8						Popular mechanics.  Vol. 99, no. 1, Jan. 1953.	B394280	1951-12-30	RE43569	1980-01-10	The Hearst Corporation|PCW					
ee1d0543-55c7-07c2-2775-7bb38a67c972					Alan Patrick Herbert.	Number nine; or, The Mind-sweepers.	A63185	1952-01-24	RE53372	1980-03-04	Lady Gwendolen Herbert|W				Pub. abroad 24Oct51, AIO-1529 & renewed as RE 29-541.	
ee1d0543-55c7-07c2-2775-7bb38a67c972					Alan Patrick Herbert.	Number nine; or, The Mind-sweepers.	AIO-1529	1951-10-24	RE53372	1980-03-04	Lady Gwendolen Herbert|W				Pub. abroad 24Oct51, AIO-1529 & renewed as RE 29-541.	
cd6d7f32-aa39-215c-1655-668f7c760c25					Josephine Tey, pseud. of Elizabeth MacKintosh.	The Daughter of time.	A65072	1952-02-19	RE73541	1980-10-31	R. S. Latham|E				Pub. abroad 25Jun51, AI-3191.	
cd6d7f32-aa39-215c-1655-668f7c760c25					Josephine Tey, pseud. of Elizabeth MacKintosh.	The Daughter of time.	AI-3191	1951-06-25	RE73541	1980-10-31	R. S. Latham|E				Pub. abroad 25Jun51, AI-3191.	
d5cecae0-543f-59d3-1988-3719e76d63dc					William Colt MacDonald (Allan William Colt MacDonald)	The Galloping ghost; a three Mesquiteers story.	A66427	1952-04-24	RE64077	1980-04-14	Elizabeth MacDonald|W				Canadian ed. pub. 29Dec51, AI-3322, in Star Weekly, Dec. 29, 1951.	
d5cecae0-543f-59d3-1988-3719e76d63dc					William Colt MacDonald (Allan William Colt MacDonald)	The Galloping ghost; a three Mesquiteers story.	AI-3322	1951-12-29	RE64077	1980-04-14	Elizabeth MacDonald|W				Canadian ed. pub. 29Dec51, AI-3322, in Star Weekly, Dec. 29, 1951.	
f58f6c99-6300-2d41-34fc-9973f7511c4f					Mirielle B. Cooper.	Swiss Family Burnard|The Happy season.	A67149	1952-05-19	RE66390	1980-09-23	Farrar, Straus & Giroux, Inc.|PWH				Pub. abroad as Swiss Family Burnard, 21Sep51, AI-3336 & renewed as RE 26-790.	
f58f6c99-6300-2d41-34fc-9973f7511c4f					Mirielle B. Cooper.	Swiss Family Burnard|The Happy season.	AI-3336	1951-09-21	RE66390	1980-09-23	Farrar, Straus & Giroux, Inc.|PWH				Pub. abroad as Swiss Family Burnard, 21Sep51, AI-3336 & renewed as RE 26-790.	
49cbe699-48b1-be59-2826-972ec958e3bc					Jan DeHartog.	Stella|The Distant shore; a story of the sea.	A69456	1952-08-20	RE59755	1980-05-08	Jan DeHartog|A				1st pt. pub. abroad under title: Stella, 29Oct51, AI-3304|renewed as RE 36-044.	
49cbe699-48b1-be59-2826-972ec958e3bc					Jan DeHartog.	Stella|The Distant shore; a story of the sea.	AI-3304	1951-10-29	RE59755	1980-05-08	Jan DeHartog|A				1st pt. pub. abroad under title: Stella, 29Oct51, AI-3304|renewed as RE 36-044.	
cadb1051-055e-66f7-9adb-d1a854c50d67					James Matthew Thompson.	Napoleon Bonaparte: his rise and fall.	A72955	1952-10-09	RE67032	1980-06-23	Marie Meredith Thompson|W				Pub. abroad 1Dec51, AIO-1957 & renewed as RE 29-358.	
cadb1051-055e-66f7-9adb-d1a854c50d67					James Matthew Thompson.	Napoleon Bonaparte: his rise and fall.	AIO-1957	1951-12-01	RE67032	1980-06-23	Marie Meredith Thompson|W				Pub. abroad 1Dec51, AIO-1957 & renewed as RE 29-358.	
d47514db-665a-b18c-587f-d34ada132ee1					Saint John Ervine.	Oscar Wilde; a present time appraisal.	A71652	1952-10-15	RE54659	1980-03-07	The Public Trustee|E				Pub. abroad 29Nov51, AIO-1997.	
d47514db-665a-b18c-587f-d34ada132ee1					Saint John Ervine.	Oscar Wilde; a present time appraisal.	AIO-1997	1951-11-29	RE54659	1980-03-07	The Public Trustee|E				Pub. abroad 29Nov51, AIO-1997.	
30fef62d-d758-814a-7c0d-c1756a41eafc					William Goyen.	Ghost and flesh; stories and tales.|Nests in a stone image.	A67666	1952-01-28	RE65065	1980-08-18	William Goyen|A				Several stories prev. pub. in various periodicals.	
