entry_id	volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
756d6574-b630-a696-790f-4124a14a8e55					Ida Elkan.	Practical music theory for piano.|Practical piano playing manual and theory writing book	A366051	1958-11-17	RE308476	1986-10-30	Ida Elkan|A	Prev. pub. as Practical piano playing manual and theory writing book,|1939-03-15|AA296635					
9b520dd1-4836-b2a7-0f7e-351ff40880da					Rupert Norval Richardson.	Texas, the Lone Star State.	A336284	1958-05-05	RE309138	1986-11-04	Rupert Norval Richardson|A	Prev. reg. under same title|1943-01-28|A170670					
23fc2835-9869-13a0-e8d8-dccc173d8281					W. E. Sangster.	Power in preaching.	AFO16932	1948-04-17	RE314369	1986-12-19	Paul Edwin Sangster|C						
c123e9a1-19b9-f9a9-7ba6-6bb3a16ec1f4					Andre VonGronicka & Helen Bates-Yakobson.	Essentials of Russian: reading, conversation, grammer.	A344813	1958-06-26	RE309143	1986-11-04	Andre VonGronicka|A||Helen Bates-Yakobson|A	Prev. reg. under same title|1950-06-30|A45414					
c2fc72d4-a7e3-906a-3bfd-f69d74fbdbc4					Harry A. Finney & Herbert E. Miller.	Principles of accounting; bk.	A335949	1958-04-23	RE295718	1986-06-03	Stephen I. Finney|C||Richard A. Finney|C||Janet Finney Hagood|C||Herbert E. Miller|A	Bk. by same title & authors prev. reg.|1951-04-27|A55182					
c2f1b945-8bda-5a97-16ad-424981ee1ff3					Arnold A. Hutschnecker.	The Will to live.	A336114	1958-04-28	RE309137	1986-11-04	Arnold A. Hutschnecker|A	Prev. reg. under same title|1951-09-19|A59990					
7dada792-27f9-1305-edee-29f942d584e7					Paul Hibbert Clyde.	The Far East: a history of the impact of the West on eastern Asia.	A322281	1958-02-05	RE295711	1986-06-03	Paul Hibbert Clyde|A	Bk. by same title & author prev. reg.|1952-04-21|A66399					
1e626e3f-d554-9efc-8777-3a9b5a23247b					C. Harvey Sorum.	How to solve general chemistry problems; bk.	A341839	1958-06-04	RE295721	1986-06-03	Emma-Lou Sorum|W	Bk. by same author and title prev. reg.|1952-03-10|A65160					
74bd0de4-30a3-7060-4350-b155fc259320					Abram S. Ginnes & Ira Wallach.	Drink to me only.	DU47538	1953-09-05	RE303470	1986-09-09	Abram S. Ginnes|A||Ira Wallach|A						
d9403d8c-b465-0d67-7a2e-f34a59362f66					Judson T. Landis & Mary G. Landis.	Building a successful marriage.	A345532	1958-06-27	RE309144	1986-11-04	Judson Richard Landis|C||Janet Landis Summers|C	Second ed. prev. reg.|1953-03-27|A84849					
17c237cb-b0bd-4329-07a7-f7b2b5a20630					William Hassett.	Off the record with F. D. R., 1942-1945.|The President was my boss.	A364072	1958-11-17	RE286145	1986-02-13	Chittenden Trust Company|E					Some portion prev. pub. in the Saturday evening post, 28Nov53.	
c03e82b0-2334-71f3-dc5c-142844aebf44					Albert B. Saye, Merritt B. Pound & John F. Allums.	Principles of American government.	A328119	1958-03-14	RE309136	1986-11-04	Albert B. Saye|A||John F. Allums|A||Marjorie Pound|W||Merritt B. Pound, Jr.|C	Prev. reg. under same title|1954-03-05|A129091					
97280a26-514a-3d00-2e44-3776f9a89cea					L. Don Leet & Sheldon Judson.	Physical geology; bk.	A341939	1958-06-11	RE295722	1986-06-03	F. Jane Dunnells|W||Sheldon Judson|A	Bk. by same authors and title prev. reg.|1954-03-29|A132099					
