volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	publ	note	full_text
				Louis A. Wolfanger.	Denoyer's student atlas|World soils.  No. P79a.	F28355	1960-04-13	RE389813	1988-07-13	Rand McNally & Company|PWH					Prev. pub. as part of Denoyer's student atlas, 1Dec49, no. A42375.		
					The American Legion magazine.  Vol. 68, no. 4, Apr. 1960.	B830236	1958-05-14	RE381071	1988-03-15	American Legion|PCW							
					Mammoth crossword puzzles.  No. 13.	A455868	1959-06-30	RE369512	1988-04-11	Diamandis Communications, Inc.|PCW							
					Beauty ideas.  No. 103.	A466375	1959-07-29	RE369513	1988-04-11	Diamandis Communications, Inc.|PCW							
				Andre Norton, pseud. of Alice Mary Norton.	Secret of the lost race.	A408101	1959-08-14	RE383506	1988-04-14	Alice Mary Norton|A							
					Clinical research.  Vol. 8, no. 1, Jan. 1960.	B810035	1959-12-23	RE381769	1988-04-25	Grune & Stratton, Inc.|PCW						In notice: 1960	
					The New York times index.  Vol. 47, no. 22, Nov. 16-30, 1959.  Editor: Joseph C. Gephart.	A426638	1959-12-24	RE368152	1988-01-07	New York Times Company|PWH							
					Time; the weekly newsmagazine (incorporating Literary digest)  Vol. 75, no. 1.	B812451	1959-12-29	RE367762	1988-01-27	Time, Inc.|PCW							
				David Mace & Vera Mace.	Marriage: East and West.|Your marriage is not like this	A431163	1960-02-18	RE378110	1988-02-26	David Mace|A||Vera Mace|A					Prev. pub. abroad as a serial entitled Your marriage is not like this, 25Nov59, AI-6440; 2Dec59, AI-6473 et al.; renewed 23Dec59, RE 331-443.		
					The Winston dictionary for schools.  Edited by John A. Darden.	A423880	1960-01-01	RE393796	1988-08-26	Holt, Rinehart and Winston, Inc.|PWH||Dow Hugh Darden|E							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Come with me.	A423881	1960-01-01	RE394234	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows, Mary Elisabth Coleman, and one other.	Away we go.	A423882	1960-01-01	RE394235	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Friends all about.	A423883	1960-01-01	RE394236	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	People on parade.	A423884	1960-01-01	RE394237	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Millard H. Black.	Across the valley.	A423886	1960-01-01	RE394238	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Barbara Leader, Cyrus H. Maxwell, Pattric Ruth O'Keefe.	Adventures in living|Junior health horizons.	A423887	1960-01-01	RE393797	1988-08-26	Barbara Leader|A||Mattie S. Maxwell|W							
				Russell G. Stauffer, Alvina Treut Burrows & Doris C. Jackson.	American English.	A423888	1960-01-01	RE394239	1988-09-06	Russell G. Stauffer|A||Doris C. Jackson|A||Alvina Treut Burrows|A							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell, Mary Sue White.	From head to toe.	A423889	1960-01-01	RE393798	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell, Mary Sue White.	Side by side.	A423890	1960-01-01	RE393799	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell.	How we grow.	A423891	1960-01-01	RE393800	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell.	Bigger and better.	A423892	1960-01-01	RE393801	1988-08-26	Mattie S. Maxwell|W							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell, Louise Zimmer.	Getting acquainted.	A423893	1960-01-01	RE393802	1988-08-26	Mattie S. Maxwell|W||Dorothy Zimmer|NK							
				Pattric Ruth O'Keefe, Cyrus H. Maxwell.	Knowing yourself.	A423894	1960-01-01	RE393803	1988-08-26	Mattie S. Maxwell|W							
				Harley P. Milstead.	New Jersey geography and history.	A423895	1960-01-01	RE404721	1988-12-05	Harley P. Milstead|A							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Come here.	A423896	1960-01-01	RE394226	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows, Mary Elisabeth Coleman, and one other.	Stop and look.	A423897	1960-01-01	RE394240	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabeth Coleman.	Go up.	A423898	1960-01-01	RE394241	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Studybook for Friends all about.	A423899	1960-01-01	RE394242	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Elda L. Merton & Leo J. Brueckner.	Ready to begin numbers.	A423900	1960-01-01	RE394243	1988-09-06	Richard G. Brueckner|C							
				Elda L. Merton & Leo J. Brueckner.	Using more numbers.	A423901	1960-01-01	RE394244	1988-09-06	Richard G. Brueckner|C							
				Russell G. Stauffer, Alvina Treut Burrows & Mary Elisabth Coleman.	Study book for Come here, Stop and look, Go-up.	A423902	1960-01-01	RE394227	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Come withme|Studybook for Come with me.	A423903	1960-01-01	RE394245	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Studybook for Away we go.	A423904	1960-01-01	RE394246	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Evelyn Rezen Spencer.	Studybook for People on parade.	A423905	1960-01-01	RE394247	1988-09-06	Russell G. Stauffer|A||Alvina Treut Burrows|A							
				Russell G. Stauffer & Alvina Treut Burrows.	Ready to go.	A423906	1960-01-01	RE394248	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer & Alvina Treut Burrows.	Ready to read.	A423907	1960-01-01	RE394249	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Elisabeth Hamblen Vazquez.	American English.  Book 2.	A423908	1960-01-01	RE394271	1988-09-06	Treut Burrows|A							
				Russell G. Stauffer, Alvina Treut Burrows & Elisabeth Hamblen Vazquez.	American English.  Book 1.	A423909	1960-01-01	RE394270	1988-09-06	Treut Burrows|A							
