volume	part	number	page	auth	titl	oreg	odat	id	dreg	claimants	previous	new_matter	see_also_ren	see_also_reg	note	full_text
					North Western reporter, second series.  Vol. 115, no. 4, July 4, 1962.	B986887	1953-07-02	RE487872	1990-07-17	West Publishing Company|PWH						
					Pacific reporter, second series.  Vol. 371, no. 6 & v. 372, no. 1, July 6, 1962.	B986880	1953-07-03	RE487870	1990-07-17	West Publishing Company|PWH						
					Southern reporter, second series.  Vol. 141, no. 4 & v. 142, no. 1, July 5, 1962.	B986886	1953-07-06	RE487871	1990-07-17	West Publishing Company|PWH						
					North Western reporter, second series.  Vol. 115, no. 5, July 11, 1962.	B986891	1953-07-10	RE487873	1990-07-17	West Publishing Company|PWH						
					Pacific reporter, second series.  Vol. 372, no. 2, July 13, 1962.	B986897	1953-07-11	RE487875	1990-07-17	West Publishing Company|PWH						
					Southern reporter, second series.  Vol. 142, no. 2, July 12, 1962.	B986894	1953-07-12	RE487874	1990-07-17	West Publishing Company|PWH						
					Index, synopsis, key number character, and syllabi in New Jersey reports and New Jersey Superior Court reports.  Vol. 75, no. 28, July 13, 1962.	B986879	1953-07-13	RE487869	1990-07-17	West Publishing Company|PWH						
					Dictation by Beloved Daddy, Santa Fe, NM, 26May60; recording script.	C15006	1962-07-09	RE494545	1990-11-01	Saint Germain Press, Inc.|PWH						
				Charles K. Weichert.	Representative chordates; a manual of comparative anatomy.	A481451	1961-01-03	RE461036	1990-01-02	Kathryn H. Weichert|W						
				Harold S. Diehl, Anita D. Laton & Franklin C. Vaughn.	Health and safety for you.	A481407	1961-01-09	RE461035	1990-01-02	Antoni M. Diehl|C||Annabelle Diehl Bush|C||Margaret Vaughn|W						
					Billboard music week.  Vol. 73, no. 1, Jan. 9, 1961.	B878675	1961-01-09	RE459648	1990-01-02	Billboard Publications, Inc.|PCW						
					C.C.2 sources.|Contemporary civilization 2 notes	TX2760818	1961-01-10	RE463289	1990-01-02	University College Tutors|PWH						
					C.C.3 sources.|Contemporary civilization 3 notes	TX2760819	1961-01-10	RE463288	1990-01-02	University College Tutors|PWH						
					Fact book 3.|Philosophy notes.	TX2760820	1961-01-10	RE463287	1990-01-02	University College Tutors|PWH						
					CC 4 notes|Source notes.  Bk. 4.	TX2760821	1961-01-10	RE463286	1990-01-02	University College Tutors|PCW						
					CC 2 notes|Fact book.  No. 2.	TX2760822	1961-01-10	RE463285	1990-01-02	University College Tutors|PCW						
					Gastroenterology.  Vol. 4, no. 1.	B879400	1961-01-13	RE459507	1990-01-02	Williams & Wilkins|PCW						
					Journal of immunology.  Vol. 86, no. 1.	B879401	1961-01-13	RE459508	1990-01-02	Williams & Wilkins|PCW						
					Soil science.  Vol. 91, no. 1.	B879453	1961-01-13	RE459509	1990-01-02	Williams & Wilkins|PCW						
					Journal of urology.  Vol. 85, no. 1.	B879468	1961-01-13	RE459510	1990-01-02	Williams & Wilkins|PCW						
					Billboard music week.  Vol. 73, no. 2, Jan. 16, 1961.	B880057	1961-01-16	RE459649	1990-01-02	Billboard Publications, Inc.|PCW						
				Grand S. McClellan.	Capital punishment.	A481419	1961-01-17	RE462915	1990-01-02	H. W. Wilson Company|PWH						
				Russell Myles DeCoursey.	The Human organism.	A482361	1961-01-19	RE461037	1990-01-02	Russell Myles DeCoursey|A						
					Journal of trauma.  Vol. 1, no. 1.	B884793	1961-01-19	RE459521	1990-01-02	Williams & Wilkins|PCW						
				James T. Mangan.	Secrets of selling yourself to people.	A483009	1961-01-23	RE461149	1990-01-02	James Carroll Mangan|C||Ruth M. Stump|C						
					Billboard music week.  Vol. 73, no. 3, Jan. 23, 1961.	B881405	1961-01-23	RE459650	1990-01-02	Billboard Publications, Inc.|PCW						
					Journal of pharmacology & experimental therapeutics.  Vol. 131, no. 1.	B883765	1961-01-23	RE459516	1990-01-02	Williams & Wilkins|PCW						
				Donald S. Marshall.	Ra'ivavae; an expedition to the most fascinating and mysterious island in Polynesia.	A485950	1961-01-27	RE462772	1990-01-02	Donald S. Marshall|A						
					Journal of investigative dermatology.  Vol. 36, no. 1.	B881380	1961-01-27	RE459512	1990-01-02	Williams & Wilkins|PCW						
